Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
VGG,EvoNormBO,CIFAR-100,16,0.0002825172377290751,0.2709918579481175,68.79192888764629,9.852039,54.75555555555555,0.19324839,True,91.3332266325224,False,True,32.0,0.5995140823816896
VGG,EvoNormBO,CIFAR-100,256,1.197815617737961e-05,0.0276625214646581,2.17030786889619,2.3186908,56.04444444444445,0.23648897,True,99.97181056701032,False,True,32.0,0.5606024751035023
VGG,EvoNormBO,CIFAR-100,256,1.1170600698041593e-05,0.0202138991971778,0.7913027583149285,1.5019227,54.54444444444445,0.2661168,True,99.97181056701032,True,True,32.0,0.5455982454962516
VGG,EvoNormBO,CIFAR-100,16,0.00027974904702256464,0.2678446605872505,71.77185036206258,9.193667,53.53333333333333,0.19653371,True,91.38524327784891,True,True,32.0,0.5857984441817359
VGG,EvoNormBO,CIFAR-100,16,0.0013972442288092458,0.0519461111665392,1.9155210146652275,270.4077,42.02222222222223,0.85132813,False,61.9598271446863,False,True,32.0,0.6782172281419296
VGG,EvoNormBO,CIFAR-100,256,0.00014674255501361224,0.0799744796717724,3.8345769881523832,11.27252,44.81111111111111,0.9239822,False,99.99597293814432,False,True,32.0,0.44812915754947896
VGG,EvoNormBO,CIFAR-100,256,0.00014033701505733673,0.0825314234610406,4.390454732618355,9.740151,44.74444444444445,0.92027235,False,99.987918814433,True,True,32.0,0.4474985075695535
VGG,EvoNormBO,CIFAR-100,16,0.0013350501897942334,0.0403757931829692,0.5845248722524414,302.0573,43.15555555555556,0.8448645,False,62.94014084507042,True,True,32.0,0.6856602952602954
ViT,EvoNormBO,CIFAR-10,16,7.235029010569142e-05,0.012528539614451,0.2372858342925697,44.689035,63.54444444444445,0.64619744,True,66.71334827144686,True,True,32.0,0.952499703446024
ViT,EvoNormBO,CIFAR-10,256,9.861204866055325e-05,0.0136448649833809,0.195770767434547,54.463186,67.92222222222222,0.68973774,True,85.15625,True,True,32.0,0.7976187563710498
ViT,EvoNormBO,CIFAR-10,16,0.0006488897548156933,0.0113664041378319,0.8609750672720956,368.88708,59.98888888888889,0.78638893,False,63.17221510883483,True,True,32.0,0.9496087605213523
ViT,EvoNormBO,CIFAR-10,256,0.0009370009858965276,0.007759437781681,0.4771046533657481,805.8149,64.83333333333333,0.6595057,False,84.6971649484536,True,True,32.0,0.7654722961835932
ViT,EvoNormBO,CIFAR-100,16,0.00016507839913097028,0.0426346159125189,0.7581638318839342,39.112097,36.3,0.5906825,True,44.24615877080666,True,True,32.0,0.820410200759631
ViT,EvoNormBO,CIFAR-100,256,1.0907447444238933e-05,0.0411901949897789,5.935530048550678,2.5074182,42.84444444444444,0.83635515,True,99.94764819587628,True,True,32.0,0.42866886032654195
ViT,EvoNormBO,CIFAR-100,16,0.0012393515002366762,0.024556860180154,1.057683602273798,425.09603,33.12222222222222,0.7502363,False,40.30489756722151,True,True,32.0,0.8217914998290259
ViT,EvoNormBO,CIFAR-100,256,0.0002593759518142505,0.0311339328535619,0.3654109701771142,48.99365,34.355555555555554,0.9509178,False,99.97181056701032,True,True,32.0,0.34365242922680983
ResNet-56,EvoNormSO,CIFAR-10,16,0.0002752043883807662,0.1148452438827247,6.052969378576833,21.790172,83.91111111111111,0.29655614,True,89.75672215108835,False,True,32.0,0.9348727215089554
